"","rate_sd1","rate_sd2","rate_sd3","rate_sd4","avg_rate_q1","avg_rate_q2","avg_rate_q3","avg_rate_q4","median_rate_q1","median_rate_q2","median_rate_q3","median_rate_q4","sd_q1","sd_q2","sd_q3","sd_q4","avg_sec_q1","avg_sec_q2","avg_sec_q3","avg_sec_q4","median_sec_q1","median_sec_q2","median_sec_q3","median_sec_q4","range_q1","rate_sd_diff_4_1","Runner","difference","Min","Max","Avg","Gen","Age","Australia","Belarus","Belgium","Canada","Denmark","Finland","France","Germany","India","Ireland","Japan","Mexico","NZ","Russia","Singapore","Spain","Sweden","Switzerland","Ukraine","UK","US","Age15_19","Age20_24","Age25_29","Age30_34","Age35_39","Age40_44","Age45_49","Age50_54","Age55_59","Age60_64","Yards","Team","AvgSeconds","MaxSeconds","MinSeconds"
"216",122.919892613035,91.6046435192328,138.492392777159,214.760331532618,-24.4,-0.375,18.8571428571429,14,-2,1.5,69,10.5,84.2781110372082,49.4476635299528,114.401964685094,156.621358696699,2961,2891.25,3053.85714285714,3071.25,2972.5,2886.5,3014,3019.5,354,91.8404389195832,"Basilia Förster",8,"46:57:00","55:00:00","49:48:00","F",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22,"Switzerland",2988,3300,2817
"217",102.507072926701,41.9319176080192,152.544450976787,225.598463351741,9.8,41.5,-11.8571428571429,117,2,42.5,45,68,73.0305871992459,110.237325154155,158.026218439491,254.629142087075,2776.66666666667,2988.375,3140.57142857143,3255,2789,3018.5,3120,3254,528,123.09139042504,"Oleg Levandovskiy",13,"44:16:00","58:40:00","50:30:00","M",33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,"Russia",3030,3520,2656
"218",43.0081387646571,68.7395446595335,43.5813415733538,140.657977614733,-36.2,-6.375,24,90,-45,1.5,14,140,79.3641396769767,64.570559412608,47.1900917768207,112.739744544681,3052.33333333333,3001.75,2963.28571428571,3186.75,3015,2993,2949,3181,251,97.6498388500757,"Ned Phillips",16,"48:19:00","55:18:00","50:37:00","M",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,"Singapore",3037,3318,2899
"219",63.0634601017102,81.3606389566145,34.2970219448528,129.389270549506,10,33.125,-17.5714285714286,67.75,-10,9.5,-18,59.5,36.7772574652688,128.510977852366,35.3526452165821,155.145093380358,2890.16666666667,3040.75,3128.85714285714,3187,2891.5,3061.5,3137,3142.5,353,66.325810447796,"Mike Field",23,"47:10:00","56:48:00","50:56:00","M",46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,"New Zealand",3056,3408,2830
"220",86.1202647464579,147.100488005406,83.7811775656425,380.830671033729,-1.2,13.625,79.4285714285714,36,-42,-19.5,62,78,65.0581790912308,128.393299224353,196.722066450542,227.070473641995,2866.16666666667,2993.375,3274.28571428571,3451.5,2857.5,3021,3318,3561,462,294.710406287271,"Terri Biloski",15,"46:15:00","59:33:00","51:51:00","F",44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,"Canada",3111,3573,2775
"221",69.935088951589,62.7978616560423,98.346326825154,133.453237752655,48.25,16.2857142857143,45,38.1666666666667,70.5,4,48,43,76.9012353606885,55.2561136458048,115.019998261172,149.019126289212,2601.4,2681.28571428571,2911,3019.5,2602,2689,2907,2986.5,411,63.518148801066,"Jodie Oborne",22,"41:42:00","54:34:00","46:46:00","F",49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,"Australia",2806,3274,2502
"222",456.894955104562,182.700900511243,326.761074793189,284.53382927167,140.5,74.4285714285714,-21,13.5,102,42,13,-29.5,273.413057478973,76.0065786626395,201.535522096395,180.053788259694,2735.8,2910,2916.83333333333,2860.83333333333,2811,2896,3027.5,2839,428,-172.361125832892,"KARTIK JOSHI ",20,"39:39:00","51:48:00","47:38:00","M",19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,"India",2858,3108,2379
"223",22.5296101460574,59.4782873548547,91.2330349526238,88.7778125434503,49.75,54,17.3333333333333,25.5,52,62,10,35.5,74.3121793517052,102.272046173778,47.7943511306514,75.3631209544828,2661.4,2865.71428571429,3070.5,3068,2668,2827,3060.5,3059,206,66.2482023973929,"Tanja Hoeschele",18,"42:44:00","53:07:00","48:41:00","F",49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,"Germany",2921,3187,2564
"224",195.314276658586,56.2993698687565,147.849134818797,246.642791637353,41.5,-16.4285714285714,-5.83333333333333,9.33333333333333,-7,-14,-14,-11.5,124.12775676697,22.6452980507991,86.9704930805079,174.417506766571,2968.8,3018.14285714286,2973.33333333333,2954.33333333333,2951,3025,3008.5,3006,492,51.3285149787669,"Igor Lavnik",NA,"43:41:00","52:29:00","49:35:00","M",37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,"Belarus",2975,3149,2621
"225",88.6354895061792,118.372092914472,119.068747648855,225.538171196511,-56.25,6.42857142857143,21.1666666666667,50.3333333333333,-37.5,-11,20,121.5,88.1050509335305,116.021139288945,111.473165679757,201.23957529936,3030,2938.71428571429,3035.33333333333,3097.16666666667,3000,2944,3011,3146.5,499,136.902681690332,"Alex Ang",16,"46:36:00","55:34:00","50:14:00","M",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,"Singapore",3014,3334,2796
